Case,Question,Predicted,Gold,Score
Case2,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case2,Q1,Not specified,Yes,0
Case2,Q2,No,No,1
Case2,Q3,No,No,1
Case2,Q4,No,No,1
Case2,Q5,Yes,Yes,1
Case2,Q6,No,No,1
Case2,Q7,No,No,1
Case2,Q8,Yes,No,0
Case2,Q9,Not specified,Yes,0
Case2,Q10,No,No,1
Case2,Q10_followup,None,Other,0
Case2,Q11,Not specified,Yes,0
Case2,Q12,No,No,1
Case2,Q13,Not specified,Yes,0
Case2,Q14,Not listed,Yes,0
Case2,Q15,No,No,1
Case2,Q16,No,No,1
Case2,TOTAL,Correct: 11,Incorrect: 7,Accuracy: 61.11%
Case1,Q0,"Whole exome sequencing (WES), which analyzes the coding regions (exons) of all known genes to identify potential genetic variants underlying neurodevelopmental delay and seizures.",Whole Exome Sequencing (WES),0
Case1,Q1,Not specified,Yes,0
Case1,Q2,Yes,Yes,1
Case1,Q3,Yes,Yes,1
Case1,Q4,Yes,Yes,1
Case1,Q4_followup,ACMG,ACMG,1
Case1,Q5,Yes,Yes,1
Case1,Q6,No,No,1
Case1,Q7,Yes,Yes,1
Case1,Q8,No,No,1
Case1,Q9,Yes,Yes,1
Case1,Q9_followup,Yes,Yes,1
Case1,Q10,No,No,1
Case1,Q10_followup,Diagnostic,Diagnostic,1
Case1,Q11,Not specified,Yes,0
Case1,Q12,No,No,1
Case1,Q13,Yes,Yes,1
Case1,Q14,Not listed,Yes,0
Case1,Q15,No,No,1
Case1,Q16,Yes,Yes,1
Case1,TOTAL,Correct: 16,Incorrect: 4,Accuracy: 80.00%
Case3,Q0,BRCA1/BRCA2 genetic testing for hereditary breast and ovarian cancer risk assessment,BRCA1/BRCA2 genetic testing,0
Case3,Q1,Yes,Yes,1
Case3,Q2,Yes,Yes,1
Case3,Q3,Yes,Yes,1
Case3,Q4,Yes,Yes,1
Case3,Q4_followup,NCCN,NCCN,1
Case3,Q5,Not required,Yes,0
Case3,Q6,No,No,1
Case3,Q7,Yes,No,0
Case3,Q8,No,No,1
Case3,Q9,Yes,Yes,1
Case3,Q9_followup,Yes,Yes,1
Case3,Q10,No,No,1
Case3,Q10_followup,Risk Assessment,Risk Assessment,1
Case3,Q11,Yes,Yes,1
Case3,Q12,No,No,1
Case3,Q13,Yes,Yes,1
Case3,Q14,Not listed,Yes,0
Case3,Q15,No,No,1
Case3,Q16,Yes,Yes,1
Case3,TOTAL,Correct: 16,Incorrect: 4,Accuracy: 80.00%
Case4,Q0,BRCA1 and BRCA2 genetic testing for hereditary breast and ovarian cancer risk assessment.,BRCA1/BRCA2 genetic testing,0
Case4,Q1,Not specified,Yes,0
Case4,Q2,No,Yes,0
Case4,Q3,No,No,1
Case4,Q4,No,No,1
Case4,Q5,Not required,No,0
Case4,Q6,No,No,1
Case4,Q7,No,No,1
Case4,Q8,No,No,1
Case4,Q9,Yes,Yes,1
Case4,Q9_followup,None,No,0
Case4,Q10,Yes,No,0
Case4,Q11,Yes,No,0
Case4,Q12,No,No,1
Case4,Q13,Not specified,Yes,0
Case4,Q14,Yes,Yes,1
Case4,Q14_followup,None,81162,0
Case4,Q15,No,No,1
Case4,Q16,No,No,1
Case4,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
