Case,Question,Predicted,Gold,Score
Case32,Q0,BRCA1 and BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case32,Q1,Yes,Yes,1
Case32,Q2,Yes,Yes,1
Case32,Q3,Yes,Yes,1
Case32,Q4,Yes,Yes,1
Case32,Q4_followup,None,Yes,0
Case32,Q5,Not required,Not required,1
Case32,Q6,No,No,1
Case32,Q7,Yes,Yes,1
Case32,Q8,No,No,1
Case32,Q9,Yes,Yes,1
Case32,Q9_followup,None,Yes,0
Case32,Q10,No,No,1
Case32,Q10_followup,None,Risk Assessment,0
Case32,Q11,Yes,Yes,1
Case32,Q12,Not specified,No,0
Case32,Q13,Yes,Yes,1
Case32,Q14,Yes,Yes,1
Case32,Q14_followup,None,81162,0
Case32,Q15,No,No,1
Case32,Q16,Yes,Yes,1
Case32,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
