Case,Question,Predicted,Gold,Score
Case7,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case7,Q1,Not specified,Yes,0
Case7,Q2,Not specified,No,0
Case7,Q3,No,No,1
Case7,Q4,Not specified,Yes,0
Case7,Q5,Yes,Yes,1
Case7,Q6,No,No,1
Case7,Q7,No,No,1
Case7,Q8,Yes,Yes,1
Case7,Q8_followup,None,chromosomal microarray (CMA),0
Case7,Q9,Not specified,Yes,0
Case7,Q10,Yes,Yes,1
Case7,Q11,Not specified,Yes,0
Case7,Q12,Not specified,No,0
Case7,Q13,Yes,Yes,1
Case7,Q14,Not listed,Yes,0
Case7,Q15,No,No,1
Case7,Q16,No,No,1
Case7,TOTAL,Correct: 10,Incorrect: 8,Accuracy: 55.56%
Case44,Q0,LQTS gene panel testing,LQTS gene panel,0
Case44,Q1,Not specified,Yes,0
Case44,Q2,Yes,Yes,1
Case44,Q3,Yes,Yes,1
Case44,Q4,Yes,Yes,1
Case44,Q4_followup,None,Yes,0
Case44,Q5,Not required,Not required,1
Case44,Q6,No,No,1
Case44,Q7,Yes,Yes,1
Case44,Q8,No,No,1
Case44,Q9,Yes,Yes,1
Case44,Q9_followup,None,Yes,0
Case44,Q10,No,No,1
Case44,Q10_followup,None,Diagnostic,0
Case44,Q11,Not specified,Yes,0
Case44,Q12,No,No,1
Case44,Q13,Not specified,Yes,0
Case44,Q14,Not listed,Yes,0
Case44,Q15,No,Yes,0
Case44,Q16,Yes,Yes,1
Case44,TOTAL,Correct: 11,Incorrect: 9,Accuracy: 55.00%
Case23,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case23,Q1,Yes,Yes,1
Case23,Q2,Yes,Yes,1
Case23,Q3,Yes,Yes,1
Case23,Q4,Yes,Yes,1
Case23,Q4_followup,None,Yes,0
Case23,Q5,Not required,Not required,1
Case23,Q6,No,No,1
Case23,Q7,Yes,Yes,1
Case23,Q8,No,No,1
Case23,Q9,Yes,Yes,1
Case23,Q9_followup,None,No,0
Case23,Q10,No,No,1
Case23,Q10_followup,None,Diagnostic,0
Case23,Q11,Yes,Yes,1
Case23,Q12,No,No,1
Case23,Q13,Yes,Yes,1
Case23,Q14,Yes,Yes,1
Case23,Q14_followup,None,81162,0
Case23,Q15,Yes,Yes,1
Case23,Q16,Yes,Yes,1
Case23,TOTAL,Correct: 16,Incorrect: 5,Accuracy: 76.19%
Case25,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case25,Q1,Yes,Yes,1
Case25,Q2,Not specified,Yes,0
Case25,Q3,Yes,Yes,1
