Case,Question,Predicted,Gold,Score
Case10,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case10,Q1,Not specified,Yes,0
Case10,Q2,Not specified,No,0
Case10,Q3,No,No,1
Case10,Q4,Yes,Yes,1
Case10,Q4_followup,"{'match': 'No', 'guidelines': 'ACMG'}",No,0
Case10,Q5,Not required,No,0
Case10,Q6,No,No,1
Case10,Q7,No,No,1
Case10,Q8,Yes,Yes,1
Case10,Q8_followup,{'alternative_test': 'Microarray Testing'},"Neurodevelopmental gene panel, chromosomal microarray (CMA)",0
Case10,Q9,Not specified,Yes,0
Case10,Q10,No,Yes,0
Case10,Q11,Yes,No,0
Case10,Q12,No,No,1
Case10,Q13,Yes,Yes,1
Case10,Q14,Not listed,Yes,0
Case10,Q15,No,No,1
Case10,Q16,No,No,1
Case10,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
Case7,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case7,Q1,Yes,Yes,1
Case7,Q2,No,No,1
Case7,Q3,No,No,1
Case7,Q4,Yes,Yes,1
Case7,Q4_followup,None,No,0
Case7,Q5,Yes,Yes,1
Case7,Q6,No,No,1
Case7,Q7,No,No,1
Case7,Q8,Yes,Yes,1
Case7,Q8_followup,None,chromosomal microarray (CMA),0
Case7,Q9,Yes,Yes,1
Case7,Q9_followup,None,No,0
Case7,Q10,Yes,Yes,1
Case7,Q11,Yes,Yes,1
Case7,Q12,No,No,1
Case7,Q13,Not specified,Yes,0
Case7,Q14,No,Yes,0
Case7,Q15,No,No,1
Case7,Q16,No,No,1
Case7,TOTAL,Correct: 15,Incorrect: 5,Accuracy: 75.00%
Case23,Q0,BRCA1/2 testing,BRCA1/BRCA2 testing,1
Case23,Q1,Yes,Yes,1
Case23,Q2,Not specified,Yes,0
Case23,Q3,Yes,Yes,1
Case23,Q4,Yes,Yes,1
Case23,Q4_followup,"{'patient_matches_criteria': 'Yes', 'guidelines': 'NCCN'}",Yes,0
Case23,Q5,Not required,Not required,1
Case23,Q6,No,No,1
Case23,Q7,Yes,Yes,1
Case23,Q8,No,No,1
Case23,Q9,Yes,Yes,1
Case23,Q9_followup,{'patient_has_relevant_family_history': 'No'},No,0
Case23,Q10,No,No,1
Case23,Q10_followup,Risk Assessment,Diagnostic,0
Case23,Q11,Yes,Yes,1
Case23,Q12,No,No,1
Case23,Q13,Yes,Yes,1
Case23,Q14,Yes,Yes,1
Case23,Q14_followup,{'CPT_code': '81162'},81162,0
Case23,Q15,No,Yes,0
Case23,Q16,Yes,Yes,1
Case23,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
Case25,Q0,BRCA1/2 Targeted Variant Analysis - Ashkenazi Jewish Founder Variants,BRCA1/BRCA2 testing,0
Case25,Q1,Yes,Yes,1
Case25,Q2,Not specified,Yes,0
Case25,Q3,Yes,Yes,1
Case25,Q4,Yes,Yes,1
Case25,Q4_followup,"{'match': 'Yes', 'guideline': 'NCCN'}",Yes,0
Case25,Q5,Not required,Not required,1
Case25,Q6,No,No,1
Case25,Q7,Yes,Yes,1
Case25,Q8,No,No,1
Case25,Q9,Yes,Yes,1
Case25,Q9_followup,{'relevant_family_history': 'No'},No,0
Case25,Q10,No,No,1
Case25,Q10_followup,Risk Assessment,Diagnostic,0
Case25,Q11,Not specified,Yes,0
Case25,Q12,No,No,1
Case25,Q13,No,Yes,0
Case25,Q14,Yes,Yes,1
Case25,Q14_followup,{'CPT_code': '81212'},81217,0
Case25,Q15,No,Yes,0
Case25,Q16,Yes,Yes,1
Case25,TOTAL,Correct: 12,Incorrect: 9,Accuracy: 57.14%
Case33,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case33,Q1,Not specified,Yes,0
Case33,Q2,No,No,1
Case33,Q3,No,No,1
Case33,Q4,Yes,Yes,1
Case33,Q4_followup,"{'patient_matches_criteria': 'No', 'guidelines': 'NCCN'}",No,0
Case33,Q5,Not required,Not required,1
Case33,Q6,No,No,1
Case33,Q7,No,No,1
Case33,Q8,No,No,1
Case33,Q9,Yes,Yes,1
Case33,Q9_followup,{'patient_has_relevant_family_history': 'No'},No,0
Case33,Q10,No,Yes,0
Case33,Q11,Not specified,No,0
Case33,Q12,No,No,1
Case33,Q13,Not specified,Yes,0
Case33,Q14,Yes,Yes,1
Case33,Q14_followup,{'CPT_code': '81163'},81162,0
Case33,Q15,No,No,1
Case33,Q16,No,No,1
Case33,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case37,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case37,Q1,Yes,Yes,1
Case37,Q2,No,No,1
Case37,Q3,No,No,1
Case37,Q4,Yes,Yes,1
Case37,Q4_followup,{'match': 'No'},No,0
Case37,Q5,Not required,Not required,1
Case37,Q6,No,No,1
Case37,Q7,No,No,1
Case37,Q8,Yes,No,0
Case37,Q9,Yes,Yes,1
Case37,Q9_followup,{'relevant_family_history': 'No'},No,0
Case37,Q10,No,Yes,0
Case37,Q11,Yes,No,0
Case37,Q12,No,No,1
Case37,Q13,Yes,Yes,1
Case37,Q14,Not listed,Yes,0
Case37,Q15,No,No,1
Case37,Q16,No,No,1
Case37,TOTAL,Correct: 12,Incorrect: 7,Accuracy: 63.16%
Case42,Q0,Mitochondrial DNA panel,Mitochondrial DNA panel (mtDNA panel),0
Case42,Q1,Not specified,Yes,0
Case42,Q2,Yes,Yes,1
Case42,Q3,Yes,Yes,1
Case42,Q4,No,Yes,0
Case42,Q5,Not required,Not required,1
Case42,Q6,No,No,1
Case42,Q7,Yes,Yes,1
Case42,Q8,No,No,1
Case42,Q9,Not specified,Yes,0
Case42,Q10,No,No,1
Case42,Q10_followup,None,Diagnostic,0
Case42,Q11,Not specified,Yes,0
Case42,Q12,No,No,1
Case42,Q13,Not specified,Yes,0
Case42,Q14,Yes,Yes,1
Case42,Q14_followup,{'CPT_code': '81460'},"81460, 81479",0
Case42,Q15,No,Yes,0
Case42,Q16,Yes,Yes,1
Case42,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
Case39,Q0,Long QT Syndrome (LQTS) gene panel testing,LQTS gene panel,0
Case39,Q1,Not specified,Yes,0
Case39,Q2,Yes,Yes,1
Case39,Q3,Yes,Yes,1
Case39,Q4,No,Yes,0
Case39,Q5,Not required,Not required,1
Case39,Q6,No,No,1
Case39,Q7,Yes,Yes,1
Case39,Q8,No,No,1
Case39,Q9,Yes,Yes,1
Case39,Q9_followup,None,Yes,0
Case39,Q10,No,No,1
Case39,Q10_followup,None,Diagnostic,0
Case39,Q11,Yes,Yes,1
Case39,Q12,No,No,1
Case39,Q13,Not specified,Yes,0
Case39,Q14,Yes,Yes,1
Case39,Q14_followup,None,81413,0
Case39,Q15,No,Yes,0
Case39,Q16,Yes,Yes,1
Case39,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case34,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case34,Q1,Not specified,Yes,0
Case34,Q2,Not specified,No,0
Case34,Q3,No,No,1
Case34,Q4,Yes,Yes,1
Case34,Q4_followup,None,No,0
Case34,Q5,Not required,Not required,1
Case34,Q6,No,No,1
Case34,Q7,No,No,1
Case34,Q8,No,No,1
Case34,Q9,Not specified,Yes,0
Case34,Q10,Yes,Yes,1
Case34,Q11,Not specified,No,0
Case34,Q12,No,No,1
Case34,Q13,Not specified,Yes,0
Case34,Q14,Yes,Yes,1
Case34,Q14_followup,None,81162,0
Case34,Q15,No,No,1
Case34,Q16,No,No,1
Case34,TOTAL,Correct: 11,Incorrect: 8,Accuracy: 57.89%
Case9,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case9,Q1,Yes,Yes,1
Case9,Q2,Yes,Yes,1
Case9,Q3,No,No,1
Case9,Q4,Yes,Yes,1
Case9,Q4_followup,None,No,0
Case9,Q5,Not required,No,0
Case9,Q6,No,No,1
Case9,Q7,No,No,1
Case9,Q8,Yes,Yes,1
Case9,Q8_followup,None,"Developmental delay gene panel, chromosomal microarray (CMA)",0
Case9,Q9,Not specified,Yes,0
Case9,Q10,No,Yes,0
Case9,Q11,Not specified,No,0
Case9,Q12,No,No,1
Case9,Q13,Not specified,Yes,0
Case9,Q14,Not listed,Yes,0
Case9,Q15,No,No,1
Case9,Q16,No,No,1
Case9,TOTAL,Correct: 11,Incorrect: 8,Accuracy: 57.89%
Case1,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case1,Q1,Yes,Yes,1
Case1,Q2,Yes,Yes,1
Case1,Q3,Yes,Yes,1
