Case,Question,Predicted,Gold,Score
Case10,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case10,Q1,Yes,Yes,1
Case10,Q2,Not specified,No,0
Case10,Q3,No,No,1
Case10,Q4,Yes,Yes,1
Case10,Q4_followup,None,No,0
Case10,Q5,No,No,1
Case10,Q6,No,No,1
Case10,Q7,No,No,1
Case10,Q8,Yes,Yes,1
Case10,Q8_followup,None,"Neurodevelopmental gene panel, chromosomal microarray (CMA)",0
Case10,Q9,Yes,Yes,1
Case10,Q9_followup,None,No,0
Case10,Q10,No,Yes,0
Case10,Q11,Yes,No,0
Case10,Q12,No,No,1
Case10,Q13,Not specified,Yes,0
Case10,Q14,Yes,Yes,1
Case10,Q14_followup,None,81415,0
Case10,Q15,No,No,1
Case10,Q16,No,No,1
Case10,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
Case7,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case7,Q1,Yes,Yes,1
Case7,Q2,Not specified,No,0
Case7,Q3,No,No,1
Case7,Q4,Yes,Yes,1
Case7,Q4_followup,None,No,0
Case7,Q5,Yes,Yes,1
Case7,Q6,No,No,1
Case7,Q7,No,No,1
Case7,Q8,No,Yes,0
Case7,Q9,Yes,Yes,1
Case7,Q9_followup,None,No,0
Case7,Q10,Yes,Yes,1
Case7,Q11,Yes,Yes,1
Case7,Q12,No,No,1
Case7,Q13,Not specified,Yes,0
Case7,Q14,Yes,Yes,1
Case7,Q14_followup,None,81415,0
Case7,Q15,No,No,1
Case7,Q16,No,No,1
Case7,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
Case44,Q0,Long QT syndrome (LQTS) gene panel testing,LQTS gene panel,0
Case44,Q1,Yes,Yes,1
Case44,Q2,Yes,Yes,1
Case44,Q3,Yes,Yes,1
Case44,Q4,Yes,Yes,1
Case44,Q4_followup,None,Yes,0
Case44,Q5,Not required,Not required,1
Case44,Q6,No,No,1
Case44,Q7,Yes,Yes,1
Case44,Q8,No,No,1
Case44,Q9,Yes,Yes,1
Case44,Q9_followup,None,Yes,0
Case44,Q10,No,No,1
Case44,Q10_followup,None,Diagnostic,0
Case44,Q11,Yes,Yes,1
Case44,Q12,No,No,1
Case44,Q13,Not specified,Yes,0
Case44,Q14,Yes,Yes,1
Case44,Q14_followup,None,81413,0
Case44,Q15,No,Yes,0
Case44,Q16,Yes,Yes,1
Case44,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case23,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case23,Q1,Yes,Yes,1
Case23,Q2,Yes,Yes,1
Case23,Q3,Yes,Yes,1
Case23,Q4,Yes,Yes,1
Case23,Q4_followup,None,Yes,0
Case23,Q5,Not required,Not required,1
Case23,Q6,No,No,1
Case23,Q7,Yes,Yes,1
Case23,Q8,No,No,1
Case23,Q9,Yes,Yes,1
Case23,Q9_followup,None,No,0
Case23,Q10,No,No,1
Case23,Q10_followup,None,Diagnostic,0
Case23,Q11,Yes,Yes,1
Case23,Q12,No,No,1
Case23,Q13,Yes,Yes,1
Case23,Q14,Yes,Yes,1
Case23,Q14_followup,None,81162,0
Case23,Q15,No,Yes,0
Case23,Q16,Yes,Yes,1
Case23,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
Case25,Q0,"The genetic test is not specifically named in the query. The policy covers various molecular oncology tests for solid tumors including gene expression profiling tests, next-generation sequencing panels, and other molecular tests for cancer diagnosis, prognosis, and treatment decisions.",BRCA1/BRCA2 testing,0
Case25,Q1,Not specified,Yes,0
Case25,Q2,Not specified,Yes,0
Case25,Q3,No,Yes,0
Case25,Q4,Yes,Yes,1
Case25,Q4_followup,None,Yes,0
Case25,Q5,Not required,Not required,1
Case25,Q6,No,No,1
Case25,Q7,No,Yes,0
Case25,Q8,No,No,1
Case25,Q9,No,Yes,0
Case25,Q10,No,No,1
Case25,Q10_followup,None,Diagnostic,0
Case25,Q11,Not specified,Yes,0
Case25,Q12,No,No,1
Case25,Q13,Not specified,Yes,0
Case25,Q14,Not listed,Yes,0
Case25,Q15,Yes,Yes,1
Case25,Q16,No,Yes,0
Case25,TOTAL,Correct: 7,Incorrect: 12,Accuracy: 36.84%
Case33,Q0,BRCA1/2 germline genetic testing,BRCA1/BRCA2 testing,0
Case33,Q1,Not specified,Yes,0
Case33,Q2,No,No,1
Case33,Q3,No,No,1
Case33,Q4,Yes,Yes,1
Case33,Q4_followup,None,No,0
Case33,Q5,Not required,Not required,1
Case33,Q6,No,No,1
Case33,Q7,No,No,1
Case33,Q8,No,No,1
Case33,Q9,Yes,Yes,1
Case33,Q9_followup,None,No,0
Case33,Q10,Yes,Yes,1
Case33,Q11,Not specified,No,0
Case33,Q12,No,No,1
Case33,Q13,Not specified,Yes,0
Case33,Q14,Yes,Yes,1
Case33,Q14_followup,None,81162,0
Case33,Q15,No,No,1
Case33,Q16,No,No,1
Case33,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case37,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case37,Q1,Yes,Yes,1
Case37,Q2,Yes,No,0
Case37,Q3,No,No,1
Case37,Q4,Yes,Yes,1
Case37,Q4_followup,None,No,0
Case37,Q5,Not required,Not required,1
Case37,Q6,No,No,1
Case37,Q7,No,No,1
Case37,Q8,No,No,1
Case37,Q9,Yes,Yes,1
Case37,Q9_followup,None,No,0
Case37,Q10,No,Yes,0
Case37,Q11,No,No,1
Case37,Q12,No,No,1
Case37,Q13,Not specified,Yes,0
Case37,Q14,Yes,Yes,1
Case37,Q14_followup,None,81162,0
Case37,Q15,No,No,1
Case37,Q16,No,No,1
Case37,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case42,Q0,Mitochondrial DNA panel (multi-gene targeted panel testing for mitochondrial disease).,Mitochondrial DNA panel (mtDNA panel),0
Case42,Q1,Yes,Yes,1
Case42,Q2,Yes,Yes,1
Case42,Q3,Yes,Yes,1
Case42,Q4,Yes,Yes,1
Case42,Q4_followup,None,Yes,0
Case42,Q5,Not required,Not required,1
Case42,Q6,No,No,1
Case42,Q7,Yes,Yes,1
Case42,Q8,No,No,1
Case42,Q9,Not specified,Yes,0
