Case,Question,Predicted,Gold,Score
Case1,Q0,"Whole exome sequencing (WES) to investigate potential underlying genetic causes of neurodevelopmental delay and seizures. Specific gene content is not specified, as WES covers all protein-coding regions of the genome.",Whole Exome Sequencing (WES),0
Case1,Q1,Yes,Yes,1
Case1,Q2,Yes,Yes,1
Case1,Q3,Yes,Yes,1
Case1,Q4,Yes,Yes,1
Case1,Q4_followup,None,Yes,0
Case1,Q5,Yes,Yes,1
Case1,Q6,No,No,1
Case1,Q7,Yes,Yes,1
Case1,Q8,No,No,1
Case1,Q9,Yes,Yes,1
Case1,Q9_followup,None,Yes,0
Case1,Q10,No,No,1
Case1,Q10_followup,None,Diagnostic,0
Case1,Q11,Yes,Yes,1
Case1,Q12,Yes,No,0
Case1,Q13,Not specified,Yes,0
Case1,Q14,Yes,Yes,1
Case1,Q14_followup,None,"81415, 81416",0
Case1,Q15,No,No,1
Case1,Q16,Yes,Yes,1
Case1,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
